starting_year,evidence_z,intuition_z,evidence_minus_intuition_score
1879,0.00801216083812024,-0.18263162282281561,0.19064378281678626
1881,-0.0752179599167938,-0.19318671528964548,0.11796875623124725
1883,-0.08653585520368161,-0.18039028903326168,0.09385443356191937
1885,-0.030489274335662207,-0.18955052179903062,0.15906124735991506
1887,-0.05492502072708573,-0.162322908670932,0.10739788796080463
1889,-0.05617077112574383,-0.13705515708435032,0.08088438588517204
1891,-0.0392694010074837,-0.2134576111596895,0.17418821013947397
1893,-0.07533267969130042,-0.13790433998388044,0.06257166071372249
1895,-0.035923059333153214,-0.179322508807259,0.14339944931853524
1897,-0.10239292957646708,-0.16932677360666923,0.06693384426006344
1899,-0.1658038332075913,-0.20529495116204255,0.03949111837728801
1901,-0.0781300125170609,-0.13903144094778372,0.06090142870435504
1903,-0.08316618189434595,-0.1756701395170507,0.09250395736584882
1905,-0.027871850935350436,-0.18686328330231033,0.1589914326343082
1907,-0.03199082199224254,-0.24523210133767548,0.21324128013953147
1909,-0.027940131625571327,-0.16392627994739975,0.1359861478873981
1911,-0.04067526099830121,-0.16185943756365676,0.12118417636794651
1913,-0.06214316249136677,-0.15155745797287304,0.0894142950751179
1915,-0.0828454263328335,-0.18770246191551948,0.10485703582751535
1917,-0.11947898530682165,-0.1838846732561572,0.0644056878577752
1919,-0.07142801371801177,-0.2210200142939717,0.14959200063871145
1921,-0.11023222206492497,-0.2097426905084694,0.09951046841671858
1923,-0.13286875958618932,-0.22057730243131357,0.08770854238028411
1925,-0.11439457808826535,-0.22532066029648823,0.11092608226262984
1927,-0.17810084962850029,-0.2569778538076699,0.07887700457475327
1929,-0.05921757741141185,-0.20179199764639416,0.14257442038545906
1931,-0.1366046288523526,-0.2551732172202787,0.11856858824780384
1933,-0.15020924250691856,-0.24215983570719818,0.09195059322325187
1935,-0.07766965264514132,-0.23008091559389254,0.15241126259146934
1937,-0.03682254892682791,-0.22454410046115653,0.18772155128788953
1939,-0.04856424549454165,-0.2406904096802649,0.19212616448744324
1941,-0.03490499932559495,-0.24660940178520446,0.21170440205499458
1943,-0.015723299176285625,-0.2532883306892836,0.2375650315587335
1945,0.002552968016387264,-0.26903224026156713,0.27158520796421426
1947,0.10544134667831423,-0.2576345832134781,0.36307593015742057
1949,0.06583920558608762,-0.24531331898142988,0.3111525243940073
1951,0.020766711869655223,-0.2594008795176692,0.28016759144194686
1953,0.004987686150652484,-0.34194067272434875,0.3469283585388552
1955,0.00875627955052467,-0.39432619261520996,0.4030824720129334
1957,0.07047499173372833,-0.3834502141673606,0.45392520590760654
1959,0.06006030880939252,-0.36700870704276106,0.427069016001782
1961,0.0869065650317595,-0.39984133769021474,0.486747902756481
1963,0.09915828368208619,-0.3997758272708469,0.4989341108252396
1965,0.0679866975201976,-0.48280786084769617,0.5507945582178589
1967,0.08156225005129122,-0.4771426849604892,0.5587049352386065
1969,0.11631430709801498,-0.43414252535879283,0.5504568324411965
1971,0.12007795002352013,-0.4637081021265943,0.5837860520547825
1973,0.14241627464460474,-0.47947263154080183,0.6218889061249554
1975,0.16858994842841704,-0.46896317543650456,0.6375531239465266
1977,0.18465482889763452,-0.41157160319538894,0.5962264320785583
1979,0.15536457532961676,-0.427763150210903,0.5831277253865694
1981,0.021807271170538094,-0.45214637917980643,0.47395365022031044
1983,0.010080356100337065,-0.4484465382497452,0.45852689430608107
1985,-0.019719669399814316,-0.40791050876663587,0.3881908395844393
1987,0.014759654274482267,-0.4081297243154432,0.42288937866560433
1989,-0.035579554471488785,-0.4110594405403105,0.3754798860644975
1991,-0.10004951325064869,-0.42727144776629383,0.32722193437370983
1993,-0.0734098929809234,-0.36323713387844403,0.28982724091672474
1995,-0.10120882291054757,-0.25278938656469396,0.15158056372589251
1997,-0.1075977885861705,-0.29959395948707546,0.1919961706025653
1999,-0.1844293780727415,-0.35409289072362493,0.1696635124961358
2001,-0.1623439599538082,-0.3461575614512822,0.18381360137630456
2003,-0.22917395132624305,-0.35744045125661267,0.1282664999444257
2005,-0.24373734174519252,-0.364570486465482,0.12083314471245783
2007,-0.29408916998453655,-0.37244294425710794,0.07835377415224014
2009,-0.3255402263521914,-0.3530237520536681,0.027483525905010343
2011,-0.3060227972195034,-0.26209239569235027,-0.043930401533876874
2013,-0.2710388236213405,-0.2620932701812687,-0.00894555363855853
2015,-0.19800840532759376,-0.28403116888148117,0.08602276351966759
2017,-0.3345410089965818,-0.3509367284821363,0.016395719307662364
2019,-0.39845752829602155,-0.4272082268970503,0.028750698766128496
2021,-0.4564496746069236,-0.4372909695721157,-0.019158704991008035
